Cast/Tow Number             ,,             1.,,,
High resolution CTD - Bottle,,       2386782.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       22387619,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.9997,decimal degrees,,
Longitude                   ,,        36.4805,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              5,,,
Time                        ,,          13.05,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
High resolution CTD - Bottle,,       2386783.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387620,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.9992,decimal degrees,,
Longitude                   ,,        36.4333,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              5,,,
Time                        ,,          18.22,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          2907.,meters,,
High resolution CTD - Bottle,,       2386784.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387621,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.9985,decimal degrees,,
Longitude                   ,,        36.1493,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              5,,,
Time                        ,,          22.77,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          2174.,meters,,
High resolution CTD - Bottle,,       2386785.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387622,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.9951,decimal degrees,,
Longitude                   ,,        35.5916,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              6,,,
Time                        ,,           4.63,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          1457.,meters,,
High resolution CTD - Bottle,,       2386786.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387623,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.8851,decimal degrees,,
Longitude                   ,,        35.0348,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              6,,,
Time                        ,,           10.0,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          1581.,meters,,
High resolution CTD - Bottle,,       2386787.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387624,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.7734,decimal degrees,,
Longitude                   ,,        34.4860,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              6,,,
Time                        ,,          14.82,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          1520.,meters,,
High resolution CTD - Bottle,,       2386788.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387625,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.6976,decimal degrees,,
Longitude                   ,,        34.1231,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              6,,,
Time                        ,,          19.25,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          2489.,meters,,
High resolution CTD - Bottle,,       2386789.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387626,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.6207,decimal degrees,,
Longitude                   ,,        33.7613,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              7,,,
Time                        ,,          0.517,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          3023.,meters,,
High resolution CTD - Bottle,,       2386790.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387627,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.5451,decimal degrees,,
Longitude                   ,,        33.4003,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              7,,,
Time                        ,,           6.12,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          3518.,meters,,
High resolution CTD - Bottle,,       2386791.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387628,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.4249,decimal degrees,,
Longitude                   ,,        33.0392,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              7,,,
Time                        ,,          11.13,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
High resolution CTD - Bottle,,       2386792.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       22387629,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.4249,decimal degrees,,
Longitude                   ,,        33.0392,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              7,,,
Time                        ,,          13.17,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
Bottom depth                ,,          3535.,meters,,
High resolution CTD - Bottle,,       2386793.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387630,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.3018,decimal degrees,,
Longitude                   ,,        32.6797,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              7,,,
Time                        ,,          18.83,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          3540.,meters,,
High resolution CTD - Bottle,,       2386794.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387631,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.1798,decimal degrees,,
Longitude                   ,,        32.3194,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              8,,,
Time                        ,,          0.633,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          3551.,meters,,
High resolution CTD - Bottle,,       2386795.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387632,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -32.0600,decimal degrees,,
Longitude                   ,,        31.9603,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              8,,,
Time                        ,,           6.32,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          3557.,meters,,
High resolution CTD - Bottle,,       2386796.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387633,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.9417,decimal degrees,,
Longitude                   ,,        31.6000,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              8,,,
Time                        ,,          11.32,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
High resolution CTD - Bottle,,       2386797.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       22387634,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.9417,decimal degrees,,
Longitude                   ,,        31.6000,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              8,,,
Time                        ,,          13.23,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
High resolution CTD - Bottle,,       2386798.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387635,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.7922,decimal degrees,,
Longitude                   ,,        31.3919,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              8,,,
Time                        ,,          19.13,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          3311.,meters,,
High resolution CTD - Bottle,,       2386799.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387636,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.6529,decimal degrees,,
Longitude                   ,,        31.1740,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              9,,,
Time                        ,,          0.567,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          3129.,meters,,
High resolution CTD - Bottle,,       2386800.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387637,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.4947,decimal degrees,,
Longitude                   ,,        30.9752,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              9,,,
Time                        ,,           5.88,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          2908.,meters,,
High resolution CTD - Bottle,,       2386801.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387638,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.3499,decimal degrees,,
Longitude                   ,,        30.7575,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              9,,,
Time                        ,,          10.38,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
High resolution CTD - Bottle,,       2386802.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       22387639,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.3499,decimal degrees,,
Longitude                   ,,        30.7575,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              9,,,
Time                        ,,          12.07,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
Bottom depth                ,,          2951.,meters,,
High resolution CTD - Bottle,,       2386803.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387640,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.2048,decimal degrees,,
Longitude                   ,,        30.6062,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              9,,,
Time                        ,,          17.93,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          2774.,meters,,
High resolution CTD - Bottle,,       2386804.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387641,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.1845,decimal degrees,,
Longitude                   ,,        30.5027,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,              9,,,
Time                        ,,          23.30,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          2295.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387642,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.1229,decimal degrees,,
Longitude                   ,,        30.4574,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,             10,,,
Time                        ,,           4.12,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          1753.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387643,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.1202,decimal degrees,,
Longitude                   ,,        30.3635,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,             10,,,
Time                        ,,           9.28,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          1184.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387644,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.1079,decimal degrees,,
Longitude                   ,,        30.3391,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,             10,,,
Time                        ,,          14.55,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             2.,,,
Bottom depth                ,,           867.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22387645,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-55879       ,,,
Originators Cruise ID       ,,33RR20230722   ,,,
Latitude                    ,,       -31.0816,decimal degrees,,
Longitude                   ,,        30.3395,decimal degrees,,
Year                        ,,           2023,,,
Month                       ,,              9,,,
Day                         ,,             10,,,
Time                        ,,          17.43,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          7429.,OCL code,ROGER REVELLE (R/V; call sign KAOU; built 1996; IMO9075228),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,           282.,meters,,
High resolution CTD - Bottle,,       2386809.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       22542263,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,US-56077       ,,,
Originators Cruise ID       ,,325020240221   ,,,
Latitude                    ,,       -67.1141,decimal degrees,,
Longitude                   ,,        76.6639,decimal degrees,,
Year                        ,,           2024,,,
Month                       ,,              3,,,
Day                         ,,              4,,,
Time                        ,,           1.40,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
